,0,,,,,,,,,,,
0,-1012.3343,,,,,,,,,,,
1,-2650.868,,,,,,,,,,,
2,-1798.954,,,,,,,,,,,
3,-1694.1116,,,,,,,,,,,
4,-698.5793,,,,,,,,,,,
5,-2759.506,,,,,,,,,,,
6,-1363.9386,,,,,,,,,,,
7,-5175.644,,,,,,,,,,,
8,-7621.873,,,,,,,,,,,
9,-11283.257,,,,,,,,,,,
10,-4321.7915,,,,,,,,,,,
11,-4848.458,,,,,,,,,,,
12,-1737.7275,,,,,,,,,,,
13,-2819.6338,,,,,,,,,,,
14,-1936.9912,,,,,,,,,,,
15,-1059.9738,,,,,,,,,,,
16,-1460.6573,,,,,,,,,,,
17,-2655.5938,,,,,,,,,,,
18,-1827.7388,,,,,,,,,,,
19,-749.31476,,,,,,,,,,,
20,-1128.7484,,,,,,,,,,,
21,-1109.6523,,,,,,,,,,,
22,-1917.5144,,,,,,,,,,,
23,-1839.0756,,,,,,,,,,,
24,-1071.8713,,,,,,,,,,,
25,-1036.666,,,,,,,,,,,
26,-1200.8773,,,,,,,,,,,
27,-1350.327,,,,,,,,,,,
28,-1586.412,,,,,,,,,,,
29,-1590.1606,,,,,,,,,,,
30,-1042.0712,,,,,,,,,,,
31,-1913.1493,,,,,,,,,,,
32,-2852.4412,,,,,,,,,,,
33,-2354.7334,,,,,,,,,,,
34,-2462.575,,,,,,,,,,,
35,-1906.1329,,,,,,,,,,,
36,-4354.8657,,,,,,,,,,,
37,-645.6521,,,,,,,,,,,
38,-881.4789,,,,,,,,,,,
39,-1764.1974,,,,,,,,,,,
40,-1518.266,,,,,,,,,,,
41,-2411.0964,,,,,,,,,,,
42,-633.7186,,,,,,,,,,,
43,-1019.4172,,,,,,,,,,,
44,-952.88104,,,,,,,,,,,
45,-7619.494,,,,,,,,,,,
46,-11468.141,,,,,,,,,,,
47,-435.16504,,,,Name ,Gmail ,contact,skills,DOJ,Experience ,Comments,Location 
48,-5620.836,,,,,,,,,,,
